Publication_code,Author,Year,Title,Comparison_identifier,Animal,Strain,Sex,Comorbidity,Comorbidity_induction,Age_weeks_min,Age_weeks_mean,Age_weeks_max,Weight_g_min,Weight_g_mean,Weight_g_max,N_control_groups,N_animals_control,N_treatment_groups,N_animals_treatment,N_treatment_to_control,Effective_n_control,Primary_anaesthetic,Secondary_anaesthetic,Surgical_level,Brain_area,RB_dose,RB_dose_units,RB_dose_mgkg,Light_intensity,Light_intensity_units,Light_intensity_Wcm2,Light_type,Light_source,Light_wavelength,Light_aperture,Light_time,Treatment,Treatment_class,Treatment_dose,Treatment_dose_units,Treatment_initial_hour,Treatment_time_class,Infarct_time,Infarct_measurement,Infarct_mean_control,Infarct_error_control,Infarct_mean_treatment,Infarct_error_treatment,Infarct_diff_from_control,Infarct_diff_from_control_error,Infarct_units,Infarct_error_units,Infarct_percent_control,Infarct_percent_treatment,Infarct_SD_control,Infarct_SD_control_percent,Infarct_SD_treatment,Scale_type,Scale_score_control,Scale_error_control,Scale_score_treatment,Scale_error_treatment,Scale_error_units,Scale_time,Multiple_timepoints,Multiple_doses
Chang_1999,"Chang, Y. Y.",1999,Neuroprotective effects of an antioxidant in cortical cerebral ischemia: prevention of early reduction of the apurinic/apyrimidinic endonuclease DNA repair enzyme,a,Mouse,CD-1,Male,None,NA,NR,12,NR,35,37.5,40,1,5,1,5,1,5,Chloral hydrate,Xylazine,"Scalp retracted, skull intact",NR,1,mg/100g,10,150,W,NA,Fibre-optic,NR,NR,1.4,15,21-Aminosteroid,Anti-oxidants,20,mg/kg,-0.5,Before stroke,72,NR,7.07,1.21,3.02,0.65,NA,NA,mm3,NR,1.389243678,0.593425164,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Chen_2007_a,"Chen, F.",2007,Rodent stroke induced by photochemical occlusion of proximal middle cerebral artery: evolution monitored with MR imaging and histopathology,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,230,290,350,1,4,0,NA,NA,NA,Isoflurane,NA,Skull breached,Proximal middle cerebral artery (pMCA),20,mg/kg,20,0.68,W/cm2,0.68,Xenon lamp,Xenon,540,3,10,None,NA,NA,NA,NA,NA,12,TTC (ex vivo),26.4,9.6,NA,NA,NA,NA,Direct rLV % whole brain,SD,26.4,NA,9.6,9.6,NA,None,NA,NA,NA,NA,NA,NA,Yes,NA
Chen_2007_b,"Chen, F.",2007,Microplasmin and tissue plasminogen activator: comparison of therapeutic effects in rat stroke model at multiparametric MR imaging,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,220,285,350,1,13,3,9,3,4.333333333,Halothane,Isoflurane,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,0.68,W/cm2,0.68,Xenon lamp,Xenon,540,3,10,Microplasmin,Thrombolytics,10,mg/kg,1.5,After stroke,24,MRI (in vivo),27,3,20,4,NA,NA,Direct rLV % whole brain,SD,27,20,3,3,4,Bederson Scale,7, 4-9,4, 3-6,Range,24,No,Yes
Chen_2007_b,"Chen, F.",2007,Microplasmin and tissue plasminogen activator: comparison of therapeutic effects in rat stroke model at multiparametric MR imaging,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,220,285,350,1,13,3,14,3,4.333333333,Halothane,Isoflurane,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,0.68,W/cm2,0.68,Xenon lamp,Xenon,540,3,10,TPA (tissue plasminogen activator),Thrombolytics,10,mg/kg,1.5,After stroke,24,MRI (in vivo),27,3,21,6,NA,NA,Direct rLV % whole brain,SD,27,21,3,3,6,Bederson Scale,7, 4-9,4, 3-7,Range,24,No,No
Chen_2006,"Chen, T. Y.",2006,Melatonin attenuates the postischemic increase in blood-brain barrier permeability and decreases hemorrhagic transformation of tissue-plasminogen activator therapy following ischemic stroke in mice,a,Mouse,ICR,Male,None,NA,NR,NR,NR,30,32.5,35,1,8,3,8,3,2.666666667,Nitrous oxide,Halothane,"Scalp retracted, skull intact",Distal middle cerebral artery (dMCA),10,mg/kg,10,10,mW,NA,Argon laser,Argon laser,514.5,NR,0.67,Melatonin,Anti-oxidants,5,mg/kg,6,After stroke,24,TTC (ex vivo),17.61,1.44,14.94,1.65,NA,NA,Indirect rLV % hemisphere,SEM,8.805,7.47,4.07293506,2.03646753,4.666904756,Clark 28 point scale,12, 9.3-14.4,10, 8.1-12.2,CI range,24,No,Yes
Chen_2006,"Chen, T. Y.",2006,Melatonin attenuates the postischemic increase in blood-brain barrier permeability and decreases hemorrhagic transformation of tissue-plasminogen activator therapy following ischemic stroke in mice,b,Mouse,ICR,Male,None,NA,NR,NR,NR,30,32.5,35,1,8,3,8,3,2.666666667,Nitrous oxide,Halothane,"Scalp retracted, skull intact",Distal middle cerebral artery (dMCA),10,mg/kg,10,10,mW,NA,Argon laser,Argon laser,514.5,NR,0.67,TPA (tissue plasminogen activator),Thrombolytics,10,mg/kg,6,After stroke,24,TTC (ex vivo),17.61,1.44,18.53,0.99,NA,NA,Indirect rLV % hemisphere,SEM,8.805,9.265,4.07293506,2.03646753,2.800142853,Clark 28 point scale,12, 9.3-14.4,12, 10.2-13.5,CI range,24,No,Yes
Chen_2016,"Chen, Y.",2016,Calcineurin beta protects brain after injury by activating the unfolded protein response,a,Mouse,C57BL/6,Male,None,NA,8,9,10,NR,NR,NR,1,5,1,5,1,5,Isoflurane,NA,Skull breached,NR,NR,NA,NA,NR,NA,NA,NR,NR,543,NR,5,PERK inhibitor (PI),Anti-apoptosis/regeneration,NR,NA,-12,Before stroke,24,TTC (ex vivo),3.64,0.85,12.29,1.41,NA,NA,mm3,SEM,0.715254171,2.414965318,1.900657781,0.37347621,3.152855848,None,NA,NA,NA,NA,NA,NA,No,No
Chen_2016,"Chen, Y.",2016,Calcineurin beta protects brain after injury by activating the unfolded protein response,b,Mouse,CN? knockout,Male,None,NA,8,9,10,NR,NR,NR,1,5,1,5,1,5,Isoflurane,NA,Skull breached,NR,NR,NA,NA,NR,NA,NA,NR,NR,543,NR,5,PERK inhibitor (PI),Anti-apoptosis/regeneration,NR,NA,-12,Before stroke,24,TTC (ex vivo),10.73,2.01,12.14,1.93,NA,NA,mm3,SEM,2.108427816,2.385490558,4.494496635,0.883161391,4.315611197,None,NA,NA,NA,NA,NA,NA,No,No
Cho_2016_a,"Cho, J.",2016,Remodeling of Neuronal Circuits After Reach Training in Chronic Capsular Stroke,a,Rat,Sprague-Dawley,Male,None,NA,NR,9,NR,NR,300,NR,2,16,0,NA,NA,NA,NR,NA,Skull breached,Posterior Limb of the Internal Capsule,20,mg/kg,20,3.7,mW,NA,Green laser,Diode-pumped solid state laser,NR,0.125,1.5,None,NA,NA,NA,NA,NA,NR,Other histology (ex vivo),0.59,0.36,NA,NA,NA,NA,mm3,SD,0.029934044,NA,0.36,0.01826484,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Cho_2016_a,"Cho, J.",2016,Remodeling of Neuronal Circuits After Reach Training in Chronic Capsular Stroke,b,Rat,Sprague-Dawley,Male,None,NA,NR,9,NR,NR,300,NR,2,18,0,NA,NA,NA,NR,NA,Skull breached,Posterior Limb of the Internal Capsule,20,mg/kg,20,3.7,mW,NA,Green laser,Diode-pumped solid state laser,NR,0.125,1.5,None,NA,NA,NA,NA,NA,NR,Other histology (ex vivo),0.63,0.37,NA,NA,NA,NA,mm3,SD,0.03196347,NA,0.37,0.018772197,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Cho_2016_b,"Cho, S. E.",2016,The effect of ultrasound for increasing neural differentiation in hBM-MSCs and inducing neurogenesis in ischemic stroke model,a,Mouse,C57BL/6,Male,None,NA,NR,8,NR,NR,NR,NR,1,8,2,8,2,4,Zoletil,Xylazine,"Scalp retracted, skull intact",NR,10,mg/ml,NA,150,W,NA,Cold light,NR,NR,NR,15,hBMSC (human bone marrow mesenchymal stem cell),Multiple mechanisms,1 x 10^5,Cells,NR,After stroke,NR,Other histology (ex vivo),1,0.2,0.8,0.15,NA,NA,% (not specified percentage of),SD,NA,NA,0.2,NA,0.15,None,NA,NA,NA,NA,NA,NA,No,Yes
Choi_2018,"Choi, I. A.",2018,Effect of Inhibition of DNA Methylation Combined with Task-Specific Training on Chronic Stroke Recovery,a,Rat,Wistar,Male,None,NA,NR,8,NR,NR,283.88,NR,1,10,0,NA,NA,NA,Ketamine,Xylazine,"Scalp retracted, skull intact",Sensorimotor cortex,20,mg/kg,20,NR,NA,NA,LCD,NR,NR,4,30,None,NA,NA,NA,NA,NA,1008,NR,94.05,12.13,NA,NA,NA,NA,mm3,SE,4.771689498,NA,38.35842802,1.946140437,NA,mNSS,10.64,0.55,NA,NA,SE,1344,Yes,No
Choi_2018,"Choi, I. A.",2018,Effect of Inhibition of DNA Methylation Combined with Task-Specific Training on Chronic Stroke Recovery,b,Rat,Wistar,Male,None,NA,NR,8,NR,NR,283.88,NR,1,12,3,6,3,4,Ketamine,Xylazine,"Scalp retracted, skull intact",Sensorimotor cortex,20,mg/kg,20,NR,NA,NA,LCD,NR,NR,4,30,Task-specific training (TST),Other,NA,NA,1584,After stroke,2184,NR,76.68,5.56,67.61,3.22,NA,NA,mm3,SE,3.890410959,3.430238458,19.26040498,0.977189497,7.887356972,mNSS,10.92,NR,9.2,0.8,SE,2184,Yes,Yes
Choi_2018,"Choi, I. A.",2018,Effect of Inhibition of DNA Methylation Combined with Task-Specific Training on Chronic Stroke Recovery,c,Rat,Wistar,Male,None,NA,NR,8,NR,NR,283.88,NR,1,12,3,6,3,4,Ketamine,Xylazine,"Scalp retracted, skull intact",Sensorimotor cortex,20,mg/kg,20,NR,NA,NA,LCD,NR,NR,4,30,5-Aza-dC,Other,280,ug,1584,After stroke,2184,NR,76.68,5.56,94.54,8.78,NA,NA,mm3,SE,3.890410959,4.796549975,19.26040498,0.977189497,21.50651994,mNSS,10.92,NR,9.65,NR,SE,2184,Yes,Yes
Choi_2016_a,"Choi, Y. K.",2016,Effect of human mesenchymal stem cell transplantation on cerebral ischemic volume-controlled photothrombotic mouse model,a,Mouse,C57BL/6,Male,None,NA,NR,8,NR,NR,NR,NR,3,5,0,NA,NA,NA,Tiletamine-Zolazepam,Xylazine,Skull breached,Frontal cortex,10,mg/ml,NA,3200,K,NA,Halogen lamp,Halogen,560,5,15,None,NA,NA,NA,NA,NA,24,Other histology (ex vivo),2.11,0.46,NA,NA,NA,NA,mm3,SD,0.414611621,NA,0.46,0.090389263,NA,None,NA,NA,NA,NA,NA,NA,No,No
Choi_2016_a,"Choi, Y. K.",2016,Effect of human mesenchymal stem cell transplantation on cerebral ischemic volume-controlled photothrombotic mouse model,b,Mouse,C57BL/6,Male,None,NA,NR,8,NR,NR,NR,NR,3,5,0,NA,NA,NA,Tiletamine-Zolazepam,Xylazine,Skull breached,Frontal cortex,10,mg/ml,NA,3250,K,NA,Halogen lamp,Halogen,560,5,15,None,NA,NA,NA,NA,NA,24,Other histology (ex vivo),2.6,0.59,NA,NA,NA,NA,mm3,SD,0.510895836,NA,0.59,0.115934055,NA,None,NA,NA,NA,NA,NA,NA,No,No
Choi_2016_a,"Choi, Y. K.",2016,Effect of human mesenchymal stem cell transplantation on cerebral ischemic volume-controlled photothrombotic mouse model,c,Mouse,C57BL/6,Male,None,NA,NR,8,NR,NR,NR,NR,3,5,0,NA,NA,NA,Tiletamine-Zolazepam,Xylazine,Skull breached,Frontal cortex,10,mg/ml,NA,3300,K,NA,Halogen lamp,Halogen,560,5,15,None,NA,NA,NA,NA,NA,24,Other histology (ex vivo),3.13,0.34,NA,NA,NA,NA,mm3,SD,0.615039987,NA,0.34,0.066809456,NA,None,NA,NA,NA,NA,NA,NA,No,No
Choy_2016,"Choy, F. C.",2016,"Reduction of the neuroprotective transcription factor Npas4 results in increased neuronal necrosis, inflammation and brain lesion size following ischaemia",a,Mouse,C57BL/6,Male,None,NA,14,14.5,15,NR,NR,NR,2,9,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Forelimb motor cortex,100,mg/kg,100,240,lumens,NA,LED,LED,500-570,2.5,10,None,NA,NA,NA,NA,NA,96,Other histology (ex vivo),14.38,4.43,NA,NA,NA,NA,Direct rLV % hemisphere,SD,7.19,NA,4.43,2.215,NA,None,NA,NA,NA,NA,NA,NA,No,No
Choy_2016,"Choy, F. C.",2016,"Reduction of the neuroprotective transcription factor Npas4 results in increased neuronal necrosis, inflammation and brain lesion size following ischaemia",b,Mouse,Npas4 knockout,Male,None,NA,14,14.5,15,NR,NR,NR,2,8,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Forelimb motor cortex,100,mg/kg,100,240,lumens,NA,LED,LED,500-570,2.5,10,None,NA,NA,NA,NA,NA,96,Other histology (ex vivo),20.9,4.26,NA,NA,NA,NA,Direct rLV % hemisphere,SD,10.45,NA,4.26,2.13,NA,None,NA,NA,NA,NA,NA,NA,No,No
Clarkson_2018,"Clarkson, A. N.",2018,"The flavonoid, 2'-methoxy-6-methylflavone, affords neuroprotection following focal cerebral ischaemia",a,Mouse,C57BL/6,Male,None,NA,8,10,12,25,26,27,1,5,3,5,3,1.666666667,Isoflurane,NA,"Scalp retracted, skull intact",NR,10,g/L,76.92307692,NR,NA,NA,LCD,NR,NR,2,15,2'MeO6MF,Anti-inflammation,60,mg/kg,1,After stroke,168,Other histology (ex vivo),2.23,0.26,0.89,0.54,NA,NA,mm3,SD,0.438191429,0.174883575,0.26,0.051089584,0.54,None,NA,NA,NA,NA,NA,NA,No,Yes
Comelli_1993,"Comelli, M. C.",1993,"Time course, localization and pharmacological modulation of immediate early inducible genes, brain-derived neurotrophic factor and trkB messenger RNAs in the rat brain following photochemical stroke",a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,275,300,1,9,1,10,1,9,Nitrous oxide,Halothane,"Scalp retracted, skull intact",NR,80,mg/kg/ml,NA,NR,NA,NA,NR,NR,NR,5,60,MK-801 (dizocilpine maleate),Excitotoxicity,1,mg/kg,-1,Before stroke,24,NR,36.62,3.58,33.92,2.82,NA,NA,mm3,NR,1.857940132,1.720953831,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Cruz_2017,"Cruz, S. A.",2017,Loss of IRF2BP2 in Microglia Increases Inflammation and Functional Deficits after Focal Ischemic Brain Injury,a,Mouse,C57BL/6,Male,None,NA,NR,8,NR,NR,NR,NR,1,12.5,1,12.5,1,12.5,Isoflurane,NA,"Scalp retracted, skull intact",NR,100,mg/kg,100,20,mW,NA,Green laser,Diode-pumped solid state laser,532,NR,10,IFN? (Interferon beta),Anti-inflammation,10000,"""units""",0.5,After stroke,NR,NR,2.59,0.22,1.9,0.11,NA,NA,mm3,SEM,0.508930852,0.373346957,0.777817459,0.152839885,0.38890873,None,NA,NA,NA,NA,NA,NA,No,No
Cruz_2017,"Cruz, S. A.",2017,Loss of IRF2BP2 in Microglia Increases Inflammation and Functional Deficits after Focal Ischemic Brain Injury,b,Mouse,IRF2BP2 knockout,Male,None,NA,NR,8,NR,NR,NR,NR,1,12.5,1,12.5,1,12.5,Isoflurane,NA,"Scalp retracted, skull intact",NR,100,mg/kg,100,20,mW,NA,Green laser,Diode-pumped solid state laser,532,NR,10,IFN? (Interferon beta),Anti-inflammation,10000,"""units""",0.5,After stroke,NR,NR,3.23,0.22,2.89,0.68,NA,NA,mm3,SEM,0.634689827,0.567880372,0.777817459,0.152839885,2.404163056,None,NA,NA,NA,NA,NA,NA,No,No
Cruz_2018,"Cruz, S. A.",2018,"Dabrafenib, an inhibitor of RIP3 kinase-dependent necroptosis, reduces ischemic brain injury",a,Mouse,C57BL/6,Male,None,NA,8,10,12,NR,33,NR,1,8,1,8,1,8,Isoflurane,NA,"Scalp retracted, skull intact",Sensorimotor cortex,100,mg/kg,100,20,mW,NA,Green laser,Diode-pumped solid state laser,532,NR,10,Dabrafenib,Anti-apoptosis/regeneration,25,mg/kg,1,After stroke,24,Other histology (ex vivo),6.77,0.43,5.01,0.51,NA,NA,Indirect rLV % whole brain,SEM,6.77,5.01,1.216223664,1.216223664,1.442497834,None,NA,NA,NA,NA,NA,NA,Yes,No
Cybulska-Klosowicz_2011,"Cybulska-Klosowicz, A.",2011,Matrix metalloproteinase inhibition counteracts impairment of cortical experience-dependent plasticity after photothrombotic stroke,a,Mouse,C57BL/6,NR,None,NA,NR,8,NR,NR,NR,NR,1,3,1,3,1,3,Isoflurane,NA,"Scalp retracted, skull intact",NR,10,mg/ml,NA,2750,K,NA,LCD,NR,560,1.5,20,FN-439 (tetrapeptidyl hydroxamic acid),Anti-inflammation,10,mg/kg,0,During stroke,168,Other histology (ex vivo),2.23,0.9,2.11,0.5,NA,NA,mm3,SD,0.438191429,0.414611621,0.9,0.176848559,0.5,None,NA,NA,NA,NA,NA,NA,No,No
De Ryck_1990,"De Ryck, M.",1990,Animal models of cerebral stroke: pharmacological protection of function,a,Rat,NR,NR,None,NA,NR,NR,NR,NR,NR,NR,1,NR,1,NR,1,NA,NR,NA,NR,Hindlimb sensorimotor cortex,NR,NA,NA,NR,NA,NA,NR,NR,NR,NR,NR,Flunarizine,Blood flow,1.25,mg/kg,0.5,After stroke,4,NR,7.01,0.71,4.81,0.74,NA,NA,mm3,NR,0.355657027,0.244038559,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
De Ryck_1996,"De Ryck, M.",1996,Lubeluzole protects sensorimotor function and reduces infarct size in a photochemical stroke model in rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,260,270,280,1,12,3,12,3,4,Nitrous oxide,Halothane,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,30,mg/kg,30,35,klux,0.00512435,Halogen lamp,Halogen,NR,1.3,5,Lubeluzole,Excitotoxicity,0.94,mg/kg,0.08,After stroke,4,Other histology (ex vivo),27.1,6.2,20.7,4.2,-24,NA,mm3,SD,1.37493658,1.050228311,6.2,0.314561136,4.2,None,NA,NA,NA,NA,NA,NA,Yes,Yes
De Ryck_1996,"De Ryck, M.",1996,Lubeluzole protects sensorimotor function and reduces infarct size in a photochemical stroke model in rats,b,Rat,Wistar,Male,None,NA,NR,NR,NR,260,270,280,1,12,3,12,3,4,Nitrous oxide,Halothane,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,30,mg/kg,30,35,klux,0.00512435,Halogen lamp,Halogen,NR,1.3,5,Lubeluzole R-isomer,Excitotoxicity,0.94,mg/kg,0.08,After stroke,4,Other histology (ex vivo),27.1,6.2,29.2,3.6,8,NA,mm3,SD,1.37493658,1.481481481,6.2,0.314561136,3.6,None,NA,NA,NA,NA,NA,NA,Yes,No
De Ryck_2000,"De Ryck, M.",2000,Diffusion-weighted MRI of infarct growth in a rat photochemical stroke model: effect of lubeluzole,a,Rat,Wistar,Male,None,NA,NR,NR,NR,260,270,280,1,10,1,11,1,10,Nitrous oxide,Halothane,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,30,mg/kg,30,35,klux,0.00512435,Halogen lamp,Halogen,NR,1.3,5,Lubeluzole,Excitotoxicity,0.62,mg/kg,1,After stroke,6,MRI (in vivo),27.2,5.7,30.5,7.1,-18.4,NA,mm3,SEM,1.380010147,1.547437849,18.02498266,0.914509521,23.54803601,None,NA,NA,NA,NA,NA,NA,Yes,No
De Ryck_1989,"De Ryck, M.",1989,Photochemical stroke model: flunarizine prevents sensorimotor deficits after neocortical infarcts in rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,270,295,320,3,8,3,8,1,8,Nitrous oxide,Halothane,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,20,mg/kg,20,90,W,NA,Halogen lamp,Halogen,NR,1,20,Flunarizine,Blood flow,1.25,mg/kg,0.5,After stroke,4,Other histology (ex vivo),7.01,0.71,4.81,0.74,NA,NA,mm3,SEM,0.355657027,0.244038559,2.008183259,0.101886517,2.093036072,None,NA,NA,NA,NA,NA,NA,Yes,Yes
Demougeot_2004_a,"Demougeot, C.",2004,Effect of diets with different magnesium content in ischemic stroke rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,NR,100,NR,1,8,2,7,2,4,Chloral hydrate,NA,"Scalp retracted, skull intact",NR,10,mg/kg,10,NR,NA,NA,Argon laser,Argon laser,570,2,3,Magnesium,Multiple mechanisms,0.015,% in diet,-924,Before stroke,24,Other histology (ex vivo),20.2,2,29.3,2.3,NA,NA,mm3,SEM,1.024860477,1.486555048,5.656854249,0.287004274,6.085228015,None,NA,NA,NA,NA,NA,NA,Yes,Yes
Abo_2003,"Abo, M.",2003,Behavioural recovery correlated with MRI in a rat experimental stroke model,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,200,220,240,1,6,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,80,mg/kg,80,150,W,NA,Halogen lamp,Halogen,NR,8,15,None,NA,NA,NA,NA,NA,12,MRI (in vivo),13.71,0.42,NA,NA,NA,NA,Direct rLV % whole brain,SEM,13.71,NA,1.028785692,1.028785692,NA,None,NA,NA,NA,NA,NA,NA,Yes,NA
Alamri_2018,"Alamri, F. F.",2018,Applicability of the grip strength and automated von Frey tactile sensitivity tests in the mouse photothrombotic model of stroke,a,Mouse,CD-1,Male,None,NA,NR,12,NR,NR,NR,NR,1,10,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",NR,10,mL/kg,80,NR,NR,NA,Halogen lamp,Halogen,NR,2,15,None,NA,NA,NA,NA,NA,504,Other histology (ex vivo),1.73,0.45,NA,NA,NA,NA,mm3,SD,0.339942229,NA,0.45,0.088424279,NA,None,NA,NA,NA,NA,NA,NA,No,NA
Alaverdashvili_2015,"Alaverdashvili, M.",2015,Laser system refinements to reduce variability in infarct size in the rat photothrombotic stroke model,a,Rat,Sprague-Dawley,Male,None,NA,13,13.5,14,NR,NR,NR,1,5,0,NA,NA,NA,Nitrous oxide,Isoflurane,Skull thinned,Motor cortex,10,mg/kg,10,36,mW,NA,NR,NR,532,3,10,None,NA,NA,NA,NA,NA,24,TTC (ex vivo),17.51,1.44,NA,NA,NA,NA,mm2,SD,NA,NA,1.44,NA,NA,None,NA,NA,NA,NA,NA,NA,No,NA
Balbi_2017,"Balbi, M.",2017,Targeted ischemic stroke induction and mesoscopic imaging assessment of blood flow and ischemic depolarization in awake mice,a,Mouse,GCaMP3,Mixed,None,NA,16,18,20,NR,NR,NR,1,12,0,NA,NA,NA,Isoflurane,NA,Cranial window (awake induction),Sensorimotor cortex,0.1,cc/10g,NA,11,mW,NA,NR,NR,532,1.2,13,None,NA,NA,NA,NA,NA,168,Other histology (ex vivo),NR,NR,NA,NA,NA,NA,mm3,NR,NA,NA,NA,NA,NA,NDS (Neurodeficit Score Evaluation),NR,NR,NR,NR,NR,NR,Yes,NA
Becker_2016,"Becker, A. M.",2016,An automated task for the training and assessment of distal forelimb function in a mouse model of ischemic stroke,a,Mouse,C57BL/6,Mixed,None,NA,25,30,35,20,25,30,1,13,0,NA,NA,NA,Nitrous oxide,Isoflurane,"Scalp retracted, skull intact",Forelimb motor cortex,1.5,mg,60,55,mW,NA,NR,NR,561,3,15,None,NA,NA,NA,NA,NA,NR,Other histology (ex vivo),12.29,5.36,NA,NA,NA,NA,mm3,NR,2.414965318,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,NA
Brima_2013,"Brima, T.",2013,Impacts of perinatal induced photothrombotic stroke on sensorimotor performance in adult rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,NR,NR,NR,2,7,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Sensorimotor cortex,10,mg/ml,NA,50,mW,NA,Green laser,Diode-pumped solid state laser,NR,NR,0.5,None,NA,NA,NA,NA,NA,168,Other histology (ex vivo),0.94,0.02,NA,NA,NA,NA,ratio of hemisphere volumes (intact hemisphere/stroke hemisphere) ,SEM,NA,NA,0.052915026,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Brima_2013,"Brima, T.",2013,Impacts of perinatal induced photothrombotic stroke on sensorimotor performance in adult rats,b,Rat,Wistar,Male,None,NA,NR,NR,NR,NR,NR,NR,2,7,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Sensorimotor cortex,10,mg/ml,NA,50,mW,NA,Green laser,Diode-pumped solid state laser,NR,NR,5,None,NA,NA,NA,NA,NA,168,Other histology (ex vivo),0.79,0.07,NA,NA,NA,NA,ratio of hemisphere volumes (intact hemisphere/stroke hemisphere) ,SEM,NA,NA,0.185202592,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Brown_2003,"Brown, A. W.",2003,Age effect on motor recovery in a post-acute animal stroke model,a,Rat,Fischer 344,Male,None,NA,NR,12,NR,NR,NR,NR,5,7,0,NA,NA,NA,Halothane,NA,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,80,mg/kg,80,150,W,NA,Halogen lamp,Halogen,NR,8,15,None,NA,NA,NA,NA,NA,96,Other histology (ex vivo),43.6,10.3,NA,NA,NA,NA,mm3,SD,2.212075089,NA,10.3,0.522577372,NA,BWS - Feeney Beam Walking Score,19,8.6,NA,NA,SD,720,Yes,No
Brown_2003,"Brown, A. W.",2003,Age effect on motor recovery in a post-acute animal stroke model,b,Rat,Fischer 344,Male,None,NA,NR,24,NR,NR,NR,NR,5,8,0,NA,NA,NA,Halothane,NA,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,80,mg/kg,80,150,W,NA,Halogen lamp,Halogen,NR,8,15,None,NA,NA,NA,NA,NA,96,Other histology (ex vivo),51.3,7.9,NA,NA,NA,NA,mm3,SD,2.602739726,NA,7.9,0.400811771,NA,BWS - Feeney Beam Walking Score,34,15.4,NA,NA,SD,720,Yes,No
Brown_2003,"Brown, A. W.",2003,Age effect on motor recovery in a post-acute animal stroke model,c,Rat,Fischer 344,Male,Aged,NA,NR,52,NR,NR,NR,NR,5,11,0,NA,NA,NA,Halothane,NA,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,80,mg/kg,80,150,W,NA,Halogen lamp,Halogen,NR,8,15,None,NA,NA,NA,NA,NA,96,Other histology (ex vivo),50.6,4.9,NA,NA,NA,NA,mm3,SD,2.567224759,NA,4.9,0.248604769,NA,BWS - Feeney Beam Walking Score,57,12.5,NA,NA,SD,720,Yes,No
Brown_2003,"Brown, A. W.",2003,Age effect on motor recovery in a post-acute animal stroke model,d,Rat,Fischer 344,Male,Aged,NA,NR,78,NR,NR,NR,NR,5,12,0,NA,NA,NA,Halothane,NA,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,80,mg/kg,80,150,W,NA,Halogen lamp,Halogen,NR,8,15,None,NA,NA,NA,NA,NA,96,Other histology (ex vivo),46.2,5.3,NA,NA,NA,NA,mm3,SD,2.343987823,NA,5.3,0.268899036,NA,BWS - Feeney Beam Walking Score,86,30.9,NA,NA,SD,720,Yes,No
Brown_2003,"Brown, A. W.",2003,Age effect on motor recovery in a post-acute animal stroke model,e,Rat,Fischer 344,Male,Aged,NA,NR,104,NR,NR,NR,NR,5,10,0,NA,NA,NA,Halothane,NA,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,80,mg/kg,80,150,W,NA,Halogen lamp,Halogen,NR,8,15,None,NA,NA,NA,NA,NA,96,Other histology (ex vivo),47.1,2.7,NA,NA,NA,NA,mm3,SD,2.389649924,NA,2.7,0.136986301,NA,BWS - Feeney Beam Walking Score,87,NR,NA,NA,SD,720,Yes,No
